Program Name,Schedule Name,Schedule Type,Source,Start Time,Duration,End Time
9 - RWC 2015 Classic Match,Promo-18 -15s.mp4,FILE,D:\Promos\Promo-18 -15s.mp4,59:39.6,00:15.0,59:54.6
9 - RWC 2015 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,59:54.6,00:05.0,59:59.6
10 - RWC 2015 Classic Match,10 - RWC 2015 Classic Match.mp4,FILE,D:\RugbyWC\10 - RWC 2015 Classic Match.mp4,59:59.6,14:24.0,14:23.6
10 - RWC 2015 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,14:23.6,00:05.0,14:28.6
10 - RWC 2015 Classic Match,Promo-1 -15s.mp4,FILE,D:\Promos\Promo-1 -15s.mp4,14:28.6,00:15.0,14:43.7
10 - RWC 2015 Classic Match,SCTE35,EVENT,SCTE35,14:28.6,00:00.0,14:28.6
10 - RWC 2015 Classic Match,Promo-18 -15s.mp4,FILE,D:\Promos\Promo-18 -15s.mp4,14:43.7,00:15.0,14:58.7
10 - RWC 2015 Classic Match,Promo-2 -30s.mp4,FILE,D:\Promos\Promo-2 -30s.mp4,14:58.7,00:30.0,15:28.7
10 - RWC 2015 Classic Match,Promo-17-60s.mp4,FILE,D:\Promos\Promo-17-60s.mp4,15:28.7,01:00.0,16:28.8
10 - RWC 2015 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,16:28.8,00:05.0,16:33.8
