,Program Name,Schedule Name,Schedule Type,Source,Start Time,Duration,End Time,New Start Time,New End Time
83,5 - RWC 2011 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,15:50.1,00:05.0,15:55.1,2023-09-01 12:15:46,2023-09-01 12:15:51
84,5 - RWC 2011 Classic Match,5 - RWC 2011 Classic Match.mp4,FILE,D:\RugbyWC\5 - RWC 2011 Classic Match.mp4,15:55.1,12:17.0,28:12.2,2023-09-01 12:15:51,2023-09-01 12:28:08
85,5 - RWC 2011 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,28:12.2,00:05.0,28:17.2,2023-09-01 12:28:08,2023-09-01 12:28:13
86,5 - RWC 2011 Classic Match,Promo-10 -30s.mp4,FILE,D:\Promos\Promo-10 -30s.mp4,28:17.2,00:30.0,28:47.2,2023-09-01 12:28:13,2023-09-01 12:28:43
87,5 - RWC 2011 Classic Match,SCTE35,EVENT,SCTE35,28:17.2,00:00.0,28:17.2,2023-09-01 12:28:43,2023-09-01 12:28:43
88,5 - RWC 2011 Classic Match,Promo-6 -52s.mp4,FILE,D:\Promos\Promo-6 -52s.mp4,28:47.2,00:52.3,29:39.5,2023-09-01 12:28:43,2023-09-01 12:29:35
89,5 - RWC 2011 Classic Match,Promo-9 -15s.mp4,FILE,D:\Promos\Promo-9 -15s.mp4,29:39.5,00:15.0,29:54.5,2023-09-01 12:29:35,2023-09-01 12:29:50
90,5 - RWC 2011 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,29:54.5,00:05.0,29:59.5,2023-09-01 12:29:50,2023-09-01 12:29:55
91,6 - RWC 2011 Classic Match,6 - RWC 2011 Classic Match.mp4,FILE,D:\RugbyWC\6 - RWC 2011 Classic Match.mp4,29:59.5,12:37.0,42:36.5,2023-09-01 12:29:55,2023-09-01 12:42:32
92,6 - RWC 2011 Classic Match,Promo-16 -30s.mp4,FILE,D:\Promos\Promo-16 -30s.mp4,42:36.5,00:30.0,43:06.5,2023-09-01 12:42:32,2023-09-01 12:43:02
93,6 - RWC 2011 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,43:06.5,00:05.0,43:11.5,2023-09-01 12:43:02,2023-09-01 12:43:07
94,6 - RWC 2011 Classic Match,Promo-1 -15s.mp4,FILE,D:\Promos\Promo-1 -15s.mp4,43:11.5,00:15.0,43:26.6,2023-09-01 12:43:07,2023-09-01 12:43:22
95,6 - RWC 2011 Classic Match,SCTE35,EVENT,SCTE35,43:11.5,00:00.0,43:11.5,2023-09-01 12:43:22,2023-09-01 12:43:22
96,6 - RWC 2011 Classic Match,Promo-11-15s.mp4,FILE,D:\Promos\Promo-11-15s.mp4,43:26.6,00:15.0,43:41.6,2023-09-01 12:43:22,2023-09-01 12:43:37
97,6 - RWC 2011 Classic Match,Promo-13 -60s.mp4,FILE,D:\Promos\Promo-13 -60s.mp4,43:41.6,01:00.0,44:41.6,2023-09-01 12:43:37,2023-09-01 12:44:37
98,6 - RWC 2011 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,44:41.6,00:05.0,44:46.6,2023-09-01 12:44:37,2023-09-01 12:44:42
99,6 - RWC 2011 Classic Match,6 - RWC 2011 Classic Match.mp4,FILE,D:\RugbyWC\6 - RWC 2011 Classic Match.mp4,44:46.6,13:26.0,58:12.7,2023-09-01 12:44:42,2023-09-01 12:58:08
100,6 - RWC 2011 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,58:12.7,00:05.0,58:17.7,2023-09-01 12:58:08,2023-09-01 12:58:13
101,6 - RWC 2011 Classic Match,Promo-9 -15s.mp4,FILE,D:\Promos\Promo-9 -15s.mp4,58:17.7,00:15.0,58:32.7,2023-09-01 12:58:13,2023-09-01 12:58:28
102,6 - RWC 2011 Classic Match,SCTE35,EVENT,SCTE35,58:17.7,00:00.0,58:17.7,2023-09-01 12:58:28,2023-09-01 12:58:28
103,6 - RWC 2011 Classic Match,Promo-7 -15s.mp4,FILE,D:\Promos\Promo-7 -15s.mp4,58:32.7,00:15.0,58:47.7,2023-09-01 12:58:28,2023-09-01 12:58:43
104,6 - RWC 2011 Classic Match,Promo-6 -52s.mp4,FILE,D:\Promos\Promo-6 -52s.mp4,58:47.7,00:52.3,59:40.0,2023-09-01 12:58:43,2023-09-01 12:59:35
105,6 - RWC 2011 Classic Match,Promo-15 -15s.mp4,FILE,D:\Promos\Promo-15 -15s.mp4,59:40.0,00:15.0,59:55.0,2023-09-01 12:59:35,2023-09-01 12:59:50
106,6 - RWC 2011 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,59:55.0,00:05.0,00:00.0,2023-09-01 12:59:50,2023-09-01 12:59:55
107,7 - History of RWC 2007 & 2011,7 - History of RWC 2007 & 2011.mp4,FILE,D:\RugbyWC\7 - History of RWC 2007 & 2011.mp4,00:00.0,12:38.0,12:38.0,2023-09-01 12:59:55,2023-09-01 13:12:33
108,7 - History of RWC 2007 & 2011,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,12:38.0,00:05.0,12:43.0,2023-09-01 13:12:33,2023-09-01 13:12:38
109,7 - History of RWC 2007 & 2011,Promo-13 -60s.mp4,FILE,D:\Promos\Promo-13 -60s.mp4,12:43.0,01:00.0,13:43.0,2023-09-01 13:12:38,2023-09-01 13:13:38
110,7 - History of RWC 2007 & 2011,SCTE35,EVENT,SCTE35,12:43.0,00:00.0,12:43.0,2023-09-01 13:13:38,2023-09-01 13:13:38
111,7 - History of RWC 2007 & 2011,Promo-14 -30s.mp4,FILE,D:\Promos\Promo-14 -30s.mp4,13:43.0,00:30.0,14:13.1,2023-09-01 13:13:38,2023-09-01 13:14:08
112,7 - History of RWC 2007 & 2011,Promo-9 -15s.mp4,FILE,D:\Promos\Promo-9 -15s.mp4,14:13.1,00:15.0,14:28.1,2023-09-01 13:14:08,2023-09-01 13:14:23
113,7 - History of RWC 2007 & 2011,Promo-15 -15s.mp4,FILE,D:\Promos\Promo-15 -15s.mp4,14:28.1,00:15.0,14:43.1,2023-09-01 13:14:23,2023-09-01 13:14:38
114,7 - History of RWC 2007 & 2011,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,14:43.1,00:05.0,14:48.1,2023-09-01 13:14:38,2023-09-01 13:14:43
115,7 - History of RWC 2007 & 2011,7 - History of RWC 2007 & 2011.mp4,FILE,D:\RugbyWC\7 - History of RWC 2007 & 2011.mp4,14:48.1,13:14.0,28:02.1,2023-09-01 13:14:43,2023-09-01 13:27:57
116,7 - History of RWC 2007 & 2011,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,28:02.1,00:05.0,28:07.1,2023-09-01 13:27:57,2023-09-01 13:28:02
117,7 - History of RWC 2007 & 2011,Promo-17-60s.mp4,FILE,D:\Promos\Promo-17-60s.mp4,28:07.1,01:00.0,29:07.2,2023-09-01 13:28:02,2023-09-01 13:29:02
118,7 - History of RWC 2007 & 2011,SCTE35,EVENT,SCTE35,28:07.1,00:00.0,28:07.1,2023-09-01 13:29:02,2023-09-01 13:29:02
119,7 - History of RWC 2007 & 2011,Promo-8 -30s.mp4,FILE,D:\Promos\Promo-8 -30s.mp4,29:07.2,00:30.0,29:37.2,2023-09-01 13:29:02,2023-09-01 13:29:32
120,7 - History of RWC 2007 & 2011,Promo-1 -15s.mp4,FILE,D:\Promos\Promo-1 -15s.mp4,29:37.2,00:15.0,29:52.2,2023-09-01 13:29:32,2023-09-01 13:29:47
121,7 - History of RWC 2007 & 2011,Promo-3 -15s.mp4,FILE,D:\Promos\Promo-3 -15s.mp4,29:52.2,00:15.0,30:07.3,2023-09-01 13:29:47,2023-09-01 13:30:02
122,7 - History of RWC 2007 & 2011,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,30:07.3,00:05.0,30:12.3,2023-09-01 13:30:02,2023-09-01 13:30:07
123,7 - History of RWC 2007 & 2011,7 - History of RWC 2007 & 2011.mp4,FILE,D:\RugbyWC\7 - History of RWC 2007 & 2011.mp4,30:12.3,14:00.0,44:12.3,2023-09-01 13:30:07,2023-09-01 13:44:07
124,7 - History of RWC 2007 & 2011,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,44:12.3,00:05.0,44:17.3,2023-09-01 13:44:07,2023-09-01 13:44:12
